url,last_run_time,totalVote,training,inference,others,tensorflow_keras,pytorch,sklearn,executable
https://www.kaggle.com/adisak/kaggle-submission-tutorial,2024-06-11 20:34:58,15,1,1,0,0,0,1,1
https://www.kaggle.com/aditya0kumar0tiwari/digit-recognizer-with-keras,2024-04-09 21:10:59,14,1,1,0,1,0,1,1
https://www.kaggle.com/adityakishor1/titanic-competition-eda,2023-08-12 11:38:48,37,1,1,0,0,0,1,0
https://www.kaggle.com/adivireza/digit-recognizer-keras,2023-01-28 10:00:18,17,1,1,0,1,0,1,1
https://www.kaggle.com/adivireza/house-prices-predict-sales-prices,2023-02-02 17:38:30,16,1,1,0,0,0,1,0
https://www.kaggle.com/adnan14/random-forest-dl-advance-preprocessing,2023-10-02 20:02:05,25,1,1,0,0,0,1,0
https://www.kaggle.com/adnananam/titanic-spaceship-survival,2023-11-15 16:36:42,11,1,1,0,0,0,1,0
https://www.kaggle.com/adrienriaux/pca-svm-on-mnist,2023-04-28 09:55:06,12,1,1,0,0,0,1,0
https://www.kaggle.com/aestroe/digit-recogniser-with-explanation,2024-02-04 15:12:01,23,1,1,0,1,0,1,1
https://www.kaggle.com/aestroe/spaceship-titanic-classification,2024-01-21 16:56:00,18,1,1,0,0,0,1,1
https://www.kaggle.com/aezersx/digits-recog,2024-02-24 15:07:15,11,1,1,0,1,0,0,1
https://www.kaggle.com/agshiv92/spaceship-titanic-eda-full-guide-for-beginners,2023-10-07 07:05:37,24,1,1,0,0,0,1,0
https://www.kaggle.com/ahammadmejbah/reinforcement-learning-enhance-real-estate-pricing,2024-05-09 14:39:52,13,0,0,0,0,0,1,1
https://www.kaggle.com/ahammadmejbah/titanic-machine-learning-from-disaster-challenge,2024-05-06 12:35:03,18,1,0,0,0,0,1,1
https://www.kaggle.com/ahmadalqawasmeh/house-price-regression,2023-07-05 14:54:37,30,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedabdellahismail/house-prices-advanced-regression-techniques,2024-09-23 15:00:38,26,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedanwar89/spaceship-titanic-ml,2023-08-15 11:22:13,11,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedashrafahmed/digit-recognizer-using-cnn-99-4,2023-09-20 18:46:38,28,1,1,0,1,0,1,1
https://www.kaggle.com/ahmedashrafahmed/house-price,2022-11-30 21:29:45,22,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedashrafahmed/spaceship-titanic,2022-11-30 16:53:15,28,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedashrafahmed/titanic-machine-learning-from-disaster,2023-03-24 22:03:43,31,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedelashrybdm/digit-recognizer,2023-11-29 07:28:26,11,1,1,0,1,0,1,1
https://www.kaggle.com/ahmedfathygwely/house-price-advanced-regression,2024-08-20 19:18:22,35,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedfathygwely/titanic-eda-ml,2024-08-29 20:23:01,35,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedgadoo/spaceship-titanic-pipeline-nlp-accuracy-81,2022-12-04 06:18:00,51,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedgaitani/digit-recognizer-code-dl-tf-vs-pt-99,2024-10-31 23:29:51,75,1,1,0,1,1,1,1
https://www.kaggle.com/ahmedgaitani/digit-recognizer-code-ml,2024-06-27 20:47:52,61,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedgaitani/house-prices-code,2024-09-15 12:24:42,76,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedgaitani/spaceship-titanic-code,2024-07-05 15:27:59,66,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedgaitani/titanic-code,2024-06-21 13:25:39,76,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedgamelwaly/titanic-prediction-using-logistic-regression,2024-01-18 10:51:20,38,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedgouda8wo/house-price-prediction-top-2-beginner-guide,2023-11-26 22:06:43,19,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedkhaledhemida/titanic-dataset,2024-10-12 09:33:41,28,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedlashin/house-prices-prediction-sic-group-6,2024-09-23 13:53:19,14,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedmahmoud16/house-prices-regression,2024-02-07 17:13:34,80,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedmahmoud16/titanic,2024-02-08 15:56:51,70,1,1,0,0,0,1,1
https://www.kaggle.com/ahmedraafat666/regression-notebook,2023-12-19 01:51:04,28,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedraafat666/titanic-project,2023-12-11 19:42:58,50,1,1,0,0,0,1,0
https://www.kaggle.com/ahmedrizkgawish/house-prices-prediction,2024-07-03 11:15:52,13,1,1,0,1,0,0,0
https://www.kaggle.com/ahmettalhabektas/how-we-c-n-deal-w-th-mis-ing-data,2023-01-11 13:15:58,36,1,0,0,0,0,1,0
https://www.kaggle.com/ahsanulislam/hello-data-analysis-and-prediction,2023-08-19 16:54:08,60,1,1,0,0,0,1,0
https://www.kaggle.com/ahsenwaheed/housing-prediction-using-xgboost-0-12-rmse,2024-08-14 15:14:22,17,1,1,0,0,0,1,0
https://www.kaggle.com/ahsuna123/jane-street-24-day-0-eda-and-feature-importance,2024-10-16 15:51:12,75,1,0,0,0,0,1,0
https://www.kaggle.com/aideesis/advanced-regression-for-house-prices,2023-09-06 03:57:40,28,1,1,0,0,0,1,0
https://www.kaggle.com/aiswaryasr155/titanic-prediction,2023-03-06 07:05:51,25,1,1,0,0,0,1,1
https://www.kaggle.com/ajaysadhu/top-33-step-by-step-guide-with-explanation,2023-06-06 14:13:49,19,1,1,0,0,0,1,1
https://www.kaggle.com/akankshasolanki123/spaceship-titanic,2024-02-16 07:17:35,11,1,1,0,1,0,1,1
https://www.kaggle.com/akashdeepkataria/digit-recognizer,2024-01-21 11:48:59,17,1,1,0,1,0,0,1
https://www.kaggle.com/akershishukla/house-pricing-eda-regression,2023-02-10 07:13:01,15,1,1,0,0,0,1,0
https://www.kaggle.com/akhiljethwa/spaceship-titanic-eda-5-models,2022-12-16 11:52:03,20,1,1,0,0,0,1,1
https://www.kaggle.com/akinert/house-prices-lasso-data-preprocessing,2023-07-28 15:38:00,28,1,1,0,0,0,1,0
https://www.kaggle.com/akioonodera/house-prices-for-biginners-for-me,2023-04-30 09:03:07,27,1,1,0,0,0,1,1
https://www.kaggle.com/akoirala111/using-cnn,2024-04-09 12:34:03,31,1,1,0,1,0,1,0
https://www.kaggle.com/akouaorsot/house-price-regression,2024-11-28 00:48:30,40,1,1,0,0,0,1,1
https://www.kaggle.com/akshaydureja/logistic-regression-with-80-accuracy-on-test-data,2022-12-03 19:46:09,17,1,1,0,0,0,1,0
https://www.kaggle.com/akshita0560/spaceship-titanic,2024-02-18 12:14:25,21,1,1,0,0,0,1,1
https://www.kaggle.com/akshitsharma1/a-fascinating-introduction-to-cnns-tutorial,2024-02-20 14:23:25,106,1,0,0,1,0,1,0
https://www.kaggle.com/akshitsharma1/easy-peasy-detailed-cnn-tutorial-for-beginners,2024-03-30 12:40:08,103,1,1,0,0,1,0,0
https://www.kaggle.com/akshitsharma1/random-forest-is-all-you-need,2024-05-07 06:14:51,120,1,1,0,0,0,1,1
https://www.kaggle.com/akshitsharma1/recurrent-neural-networks-for-digit-recognition,2024-05-06 20:12:35,63,1,0,0,0,1,1,1
https://www.kaggle.com/alaawaelmo/titanic-spaceship-classification,2024-08-30 06:23:35,14,1,1,0,0,0,1,1
https://www.kaggle.com/alamukiiraakha/spaceship-titanic-using-eda-and-decision-tree,2023-09-15 12:00:04,15,1,1,0,0,0,1,1
https://www.kaggle.com/alawdisoft/advance-house-pricing,2023-06-20 13:11:25,54,1,1,0,0,0,1,0
https://www.kaggle.com/alekso/titanic-survival-analysis,2024-11-06 19:07:04,11,1,1,0,0,0,1,1
https://www.kaggle.com/alexandrelemercier/all-best-tabular-classifiers-comparative-study,2024-09-24 11:30:36,63,1,1,0,1,0,1,0
https://www.kaggle.com/alexandrelemercier/mlmfo-episode-1-the-regularization-rumble,2024-01-05 22:50:40,41,1,1,0,0,0,1,0
https://www.kaggle.com/alexeyk12/house-prices,2024-11-28 12:59:32,22,1,1,0,0,0,1,1
https://www.kaggle.com/alexeyk12/in-depth-forecasting-analysis-catboost,2024-11-23 10:46:03,17,1,1,0,0,0,1,0
https://www.kaggle.com/alexeyk12/predicting-house-prices-using-oop,2024-07-29 15:06:11,23,1,1,0,0,0,1,1
https://www.kaggle.com/alexisbcook/getting-started-with-titanic,2023-04-21 13:39:20,244,1,1,0,0,0,1,1
https://www.kaggle.com/alfathterry/house-price-prediction,2024-02-20 14:33:26,134,1,1,0,0,0,1,0
https://www.kaggle.com/alfathterry/missing-data-imputation-techniques,2024-05-02 23:19:28,43,1,0,0,0,0,1,1
https://www.kaggle.com/alfredkondoro/k-competition-titanic-tutorial,2023-11-30 07:56:36,62,1,1,0,0,0,1,1
https://www.kaggle.com/aliabdelnaby/titanic,2024-10-25 13:01:34,16,1,1,0,0,0,1,0
https://www.kaggle.com/aliamrali/simple-cnn-for-digit-recognizer,2023-12-31 20:03:15,12,1,1,0,1,0,1,1
https://www.kaggle.com/alicanpayasli/74-accuracy-score,2023-08-02 19:49:48,18,1,1,0,0,0,1,0
https://www.kaggle.com/alicanpayasli/90-r2-score-ensemble-model-feature-selection-eng,2023-09-19 18:49:27,17,1,1,0,0,0,1,0
https://www.kaggle.com/alicanpayasli/94-accuracy-score-ensemble-model,2023-08-28 18:10:22,46,1,1,0,0,0,1,0
https://www.kaggle.com/alieidou/house-prices-prediction,2024-06-05 09:20:28,18,1,1,0,0,0,1,1
